zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
sin,learn,v,A1,sinite | fat | heart | anger | thou,,,"sungah, cih, theihna, takin, lungsim","Hiv mite, Arka mite, Sin mite,","And the Hivite, and the Arkite, and the Sinite,",Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, zomidictionary.app, Tongdot-MCPG",,GEN
"sin
crime
guilt",mawhna,,C2,mawhna,,,,,,,Tongdot-DLH,,
"sin
mistake",khialhna,,C2,khialhna,,,,,,,Tongdot-VZT,,
sin'khiat,might,n,C2,might | hold | ends | earth | wicked,,,"bangte, khua, uha, khe, leivui",khe uha leivui bangte sin'khiat sanin Ikonium khua-ah,,Attested 140× across 6 Bible books.,,,
sin'san,missing,n,C2,missing | mount | daughter | zion | hill,,,"khua, bangte, uha, hilhkholhna, khe",Tuni mahmahin Nob khua-ah galte tungin khawl uh,,Attested 90× across 6 Bible books.,,,
sin'sanin,opposed,n,C2,opposed | themselves | blasphemed | shook | raiment,,,,“Pasian tawh kikhenin siatna na tuah uh leh nomau khialhna hi a,,Attested 95× across 2 Bible books.,,,
sin'sanna,afraid,n,C2,afraid | fear | because | shaking | hand,,,,"Tua ni ciangin Egypt mite, numei bang ding uh",,Attested 70× across 2 Bible books.,,,
sinai,mount,n,A1,mount | these | day | came | desert,,,"mual, moses, israel, sehnel, gam","Topa in Sinai gamlakah Moses kiangah,",And the,Attested 2416× across 23 Bible books.,,9,EXO
since,"(adv, prep, co) man in, akipanin, ahih manin",adv,C2,"(adv, prep, co) man in, akipanin, ahih manin",,,,Church Health Consultant since 2005,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sincere,"(a) diktat, cingkam, thu maantaka nasem",adj|adjective,C2,"(a) diktat, cingkam, thu maantaka nasem",,,,An honest and upright man or woman is faithful,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sincerely,"(adv) diktattakin, thu maantakin",adverb,C2,"(adv) diktattakin, thu maantakin",,,,::We sincerely pledge and affirm,,,"TongDot, Tongdot-TKD, Dongdot",,
sincerity,"(n.): thumaanna, diktatna; cihtakna, lungsim takpi tawh cihna; kheemna om lohna; siang setna",n,C2,"(n.): thumaanna, diktatna; cihtakna, lungsim takpi tawh cihna; kheemna om lohna; siang setna",,,,"b) It’s no kidding, but out of sincerity,",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sincip,stone,n,B1,stone | dungeon | cast | cut | off,,,pia,"Amah in ni a suaklo dingin thu pia a, aksite sincip hi.","Which commandeth the sun, and it riseth not; and sealeth up the stars.",Attested 85× across 6 Bible books.,,1,LAM
sinciput,"sinciput, luguh tung lam a diakin taltang kihel",n,C2,sinciput | luguh tung lam a diakin taltang kihel | n. luguh tung lam a diakin taltang kihel.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
sinding,lesson,n,C2,,,,,Afghanistan gamvai pan sinding Bob Tuangpi.,,,,,
sine,omlo in,preposition,C2,omlo in,,,,Sine ah ka pai mun mahmah hi.,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
sinecure,(n) nasep omlo a kha sum sanna,n,C2,(n) nasep omlo a kha sum sanna,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sinedie,"hun ciam om lo-a suanto., hun ciam om lo-a suanto",hun,C2,hun ciam om lo-a suanto. | hun ciam om lo-a suanto | sinedie | om lo-a suanto,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
sinema,movies,n,C2,,,,,Lauhuai sinema-te ka deih hi.,,,,,
sinequanon,"sinequanon, neih masak teeiteei-a phamawh.",neih,C2,sinequanon | neih masak teeiteei-a phamawh. | neih masak teeiteei-a phamawh | masak teeiteei-a phamawh,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
sinew,"(n) thagui, guh leh taang kizopna",n,C2,"(n) thagui, guh leh taang kizopna",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sinewy,"sagaap tawh kibang, sinew",adj,C2,sagaap tawh kibang | sinew | adj. sagaap tawh kibang; haattuak; tha dim phitphet. | a thagui a thatang a hat | sagaap tawh kibang haattuak tha dim phitphet,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sing,timber,n,A1,wood | shittim | stones | shalt | make,"sumngote, tulakah, semnenin",,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih","a kisansak tuutal vunte, keel vunte, singkha sing,","And rams' skins dyed red, and badgers' skins, and shittim wood,",Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app, Dr. Dal Lian Haokip",,GEN
sing-atna,saw,n,C2,saw,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Bang hang hiam cih leh thu a manglo,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
sing-song,"sing-song, sak banga pau",n,C2,sing-song | sak banga pau | n. la sak banga pau. | la sak banga pau,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
sing-uih,stink-wood,n,C2,stink-wood,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Mihoih khat in mihoih lote' gamtatna a zuihkhak ciangin hawktui nin,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
singaatna,saw,n,C2,saw,,,,,,,"Tongdot-DLH, Dongdot, zomidictionary.app",,
singapore,city,n,C2,,,,,Pau Khan Thawn Singapore 9.,,,,,
singaporean,"singaporean, Singaporean",adjective,C2,singaporean | Singaporean | Singapore minam-tawh kisai,,,,Tua akiman Singaporean gammi tepen numei khatleh pasal khat ahi hi.,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
singat,itself,n,C2,itself | against | should | lift | shaketh,,,,Amah a liktopa pen molhtumin a zang ding bangkeek,,Attested 190× across 2 Bible books.,Tongdot-VZT,,
singatna,coping,,A2,coping | stones | sawed | saws | within,,,,Ka singatna na zang thei ding hi.,,,,1,1KI
singatnate,people,n,C2,people | iron | under | david | brought,,,"sunga, david, sem, tuzumte, jerusalem",Tua ciangin amah in tua sunga om mite paikhiatpihin singatnate,,Attested 330× across 4 Bible books.,,,
singbekte,walls,n,A2,walls | cubits | broad | house | made,,,,A dawl nuainung pen pi sagih leh alang zai-in,,Attested 165× across 2 Bible books.,,1,1KI
singbeu,timber,n,C2,timber,,,,Pin tawh singbeu ka liah khia thei lel hi.,,,"Dongdot, zomidictionary.app",,
singbilbawk,knur,,C2,knur,,,,,,,Dongdot,,
singbul,stump,n,B1,smote | commanded | thou | serpent | whereas,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih","Moses in, “Na cih bang hita hen! Na maitang kong",,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,ISA
singbuuk,wood-shed,,C2,wood-shed,,,,,,,Dongdot,,
singdangtuu,wood-peeker,,C2,wood-peeker,,,,,,,Dongdot,,
singe,(v.): အပေါ်ယံသာလောင်သည်။ အနည်းငယ်လောင်ကျွမ်းသည်။ မီးဟပ်သည်,verb,C2,(v.): အပေါ်ယံသာလောင်သည်။ အနည်းငယ်လောင်ကျွမ်းသည်။ မီးဟပ်သည်,,,,"hong ling a, pianna gam lei ken lah phal singe",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
singer,"(n): lasa tu, la a ka sa thai/ a ka thoem.",n,C2,"(n): lasa tu, la a ka sa thai/ a ka thoem.",,,,Lasakpa (singer) ka deih hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
singgah,nut,n,A1,fruit | yielding | midst | know | commanded,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Topa in hih bangin hong musak hi: Seeng sunga kikoih,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app",,GEN
singgahkeu,pemmican,n,C2,,,,,,,,,,
singgahte,fruit,n,A1,fruit | shouting | lord | eat | sanctuary,"gah, gahlo",,"nek, huan, sung, dawn, pia",“Huan sung singgahte ka ne thei ding uh hi;,,Attested 655× across 10 Bible books.,,4,GEN
singgahtui,juice,n,C2,juice,,,,"Singgahtui, singgah, anteh tam nek uh hi.",,,"Dongdot, zomidictionary.app",,
singgahtuui,juice,,C2,juice,,,,,,,Tongdot-DLH,,
singgam,woodland,,C2,woodland,,,,Ziri in singgam sungah a ki-awlsak hi.,,,Dongdot,,
singgelhna,weft,n,C2,weft,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",zin leh leengla do a siam mite na hita un.,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
singgil,daddock,n,C2,daddock,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Tuu leh bawnghonte tua khuasungah lumin,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
singgui,root,,C2,root,,,,Yanni in bawi phan nadingin singgui zang hi.,,,Tongdot-DLH,,
singguithak,cinnamon,n,C2,,,,,,,,,,
singhakaai,tapioca,n,C2,tapioca,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
singhawng,coat,n,C2,bark skin,,,,1″ a lian in singhawng khokkhia ding hi.,,,Tongdot-DLH,,
singhiang,branch,n,A1,nation | branches | time | sprigs | word,"hiang, hiangte",,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Amaute pen Pasian' nasem dingin a khualzin khia uh hi,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app",,LEV
singhiangheuh,prune,v,C2,prune,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Na makaite uh huih in hong mut mangsak ding,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
singhiangpite,trees,n,C2,trees | boughs | day | goodly | branches,,,,Note in a ni masa ni-in singkung hoih gahte,,Attested 135× across 2 Bible books.,,,
singhiangte,themselves,n,A2,themselves | sing | trees | courts | branches,,,"tui, lakah, zaizai, huihlak, ham",Tua tui kiangah huihlak vasate om uh,,Attested 365× across 7 Bible books.,Dongdot,3,NEH
singin,god,n,A2,god | saith | out | shook | lap,,,,“A! Biakinn susia-in ni thum sungin a lamkik dingpa!,,Attested 225× across 6 Bible books.,,2,NEH
singing,(n.): သီဆိုခြင်း။ သီဆိုသံ။,noun,C2,(n.): သီဆိုခြင်း။ သီဆိုသံ။,,,,"Hobbies : Dentistry, Singing, Music Production",,,"TongDot, Tongdot-TKD, Dongdot",,
singka,break,n,B2,break | ephraim | make | ride | judah,,,,"lei kalhkhapna singka, Israel ka kaisak hi.",,Attested 135× across 2 Bible books.,Tongdot-VZT,1,HOS
singkang,paul,n,C2,paul | gathered | bundle | sticks | laid,,,,Paul in singkang pawlkhat khawmin meipi tungah hong koih,,Attested 85× across 4 Bible books.,,,
singkawm,wilt,,B1,wilt | thou | wearied | how | land,,,,Laigelhpa pen singkawm tawh kibawl inn sungah om hi.,,,,1,JER
singkeu,light-wood,n,C2,light-wood,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",Mun khatah singkeu lak tuak uh hi.,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
singkeu.,light-wood,,C2,light-wood,,,,,,,Tongdot-DLH,,
singkha,shalt,v,A1,shalt | staves | shittim | ark | tabernacle,"shittim, singzawl",,"sing, bawl, kham, zut, tuate","a kisansak tuutal vunte, keelvunte, singkha sing,","And rams' skins dyed red, and badgers' skins, and shittim wood,",Attested 2375× across 6 Bible books.,,3,EXO
singkhedap,clog,n,C2,clog,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih","Zopau abaih kei hi, Lai-ah i sut ding haksatna tampi om hi.",The Zo dialect is not easy; writing its depths contains many challenges.,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
singkhia,house,v,A2,house | your | fire | shook | missing,,,,Ahih hangin Paul in gul mei sungah singkhia,,Attested 180× across 4 Bible books.,,2,NEH
singkhuah,gomorrah,n,B2,gomorrah | god | overthrew | sodom | firebrand,,,"meikhuk, kibang",{ Topa } in ci hi.,,Attested 95× across 4 Bible books.,,1,AMO
singkhuah-am,brand,n,C2,,,,,,,,,,
singkhuam,slew,,C1,slew | sins | tree | own | body,,,,Singkhuam i kisam lai hi.,,,,2,ACT
singkol,charge,n,C2,charge | thrust | inner | prison | made,,,,singkol lianpi sungah a khe uh a gakcipsak hi.,,Attested 95× across 2 Bible books.,,,
singkuang,trunk,n,A1,ark | god | testimony | before | levites,"teembaw, paipihto",,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",tecipan’na singkuang a zawlte leh hehpihna tokhom tawh;,"The ark of the testimony, and the staves thereof, and the mercy seat,",Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Tongdot-VZT, Dongdot",,EXO
singkuangpau,gramaphone,n,C2,,,,,,,,,,
singkuangpi,coffer,n,C2,coffer,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih","Pasian aw, na itna kip manpha mahmah hi. Mihing tate",,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
singkuangte,round,,C2,round | golden | covenant | censer | ark,,,,Tua singkuangte hon nawn kei in.,,,,1,HEB
singkung,tree,n,A1,after | every | trees | earth | tree,"kung, hiangpa, taksan",,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih","Mualliante leh mualneute khempeuh, gah a nei singkungte leh taamtaak singkung khempeuh!","Mountains, and all hills; fruitful trees, and all cedars:",Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,GEN
"singkung
sing
ansing",tree,,C2,tree,,,,,,,Tongdot-TKD,,
singkungneu,holt,n,C2,holt,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
"singkungneu
sawlbawkneu",holt ,,C2,holt ,,,,,,,Tongdot-DLH,,
singkungno,water,n,B1,water | yet | through | scent | bud,,,,"guahtui ngahin, singkungno-in hong selkik hi.","Yet through the scent of water it will bud, and bring forth boughs like a plant.",Attested 75× across 2 Bible books.,,1,JOB
singkungnote,mallows,n,B1,mallows | down | see | went | into,,,,Amaute in singkungnote botin ne uh,,Attested 145× across 4 Bible books.,,2,JOB
singkungpi,trunk,,C2,trunk,,,,"com/singkungpi-le-naupangno-thu-agelh-en-khat-thang/"", ""depth"": 0, ""zolai_score"": 0.",,,Tongdot-DLH,,
singkungte,trees,n,A1,trees | tree | fruit | god | fig,"kungte, singte, theithek",,"taamtak, pai, lebanon, gah, kung","Mualliante leh mualneute khempeuh, gah a nei singkungte leh taamtaak singkung khempeuh!","Mountains, and all hills; fruitful trees, and all cedars:",Attested 3269× across 29 Bible books.,,12,DEU
singlamteh,crucified,n,B2,crucified | missing | disciples | christ | israel,,,"jesuh, khrih, sihna, cih, note",Zeisu singlamteh tungah a thah laitakun zingsang nai kua a pha hi.,"And it was the third hour, and they crucified him.",Attested 5870× across 30 Bible books.,"Tongdot-DLH, Tongdot-VZT, zomidictionary.app",14,MAT
single,"(a) amal, khatguak, tangkhat; (v) khat bek in tuak",adj,C2,"(a) amal, khatguak, tangkhat; (v) khat bek in tuak",,,,Mark single-in om nuam hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
single-handed,"khatguak in hih, single-handed",adj,C2,khatguak in hih | single-handed | khut khat bek nei khatguak in hih mi dang kuama huhna kisam lo | adj. khut khat bek nei; khatguak in hih. mi dang kuama huhna kisam lo. | khat bek nei,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
single-hearted,"single-hearted, thudik citak thumaan",adj,C2,"single-hearted | thudik citak thumaan | adj. thudik, citak; thumaan. | thumaan | thudik, citak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
single-minded,"lungsim pumkhat, lungsimteng mun khata luang sak",adj,C2,"lungsim pumkhat, lungsimteng mun khata luang sak | ngiimna khatguak lungsim pumkhat lungsimteng mun khata luang sak | single-minded | adj. ngiimna khatguak; lungsim pumkhat, lungsimteng mun khata luang sak. | ngiimna khatguak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
single-mindedly,(adv.): စွဲစွဲမြဲမြဲ work single-mindedly at something.,,C2,(adv.): စွဲစွဲမြဲမြဲ work single-mindedly at something.,,,,,,,TongDot,,
single-space,single-space,verb,C2,"single-space | v. laigual kikaala kihalna, khatguak bek; laigual kihalna ngeina. | laigual kikaala kihalna khatguak bek laigual kihalna ngeina | laigual kikaala kihalna, khatguak bek | laigual kihalna ngeina",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
singlebed,"singlebed, khat lupna",noun,C2,singlebed | khat lupna,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
singlefile,"khat nungah khatta a ding a paina, singlefile",adverb,C2,khat nungah khatta a ding a paina | singlefile,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
singlesuang,builders,n,C2,builders | stonesquarers | prepared | timber | stones,,,"sem, kibawl, theih, pate, note",Tua ahih ciangin biakinn lamna dingin Solomon' mi innlamte leh,,Attested 150× across 4 Bible books.,,,
singlet,(n.): puansung silh,noun,C2,(n.): puansung silh,,,,Aman a singlet suahkhia hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
singleton,"singleton, laithai tawi lomkhat sungah dalkhat",noun,C2,singleton | laithai tawi lomkhat sungah dalkhat,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
singliante,goodly,,B1,goodly | thereof | like | cedars | hills,,,,Ama liim in mualliante lim sun,,,,1,PSA
singliim,wanderest,n,B1,wanderest | iniquity | thou | every | high,,,,Amaute in Judah mite kiangah,,Attested 110× across 2 Bible books.,Dongdot,1,JER
singlim,children,n,B1,children | whilst | remember | altars | groves,,,"nuai, kawikawina, khempeuhah",om kawikawina na mu khinzo hiam?,,Attested 65× across 2 Bible books.,,1,JER
singluang,log,n,A2,missing | thence | beam | let | pray,,,"sing leh suang na khat peuhpeuhte in kha nei hi cih upna, singvuhna, singhawng; (v) ui in tawng, singtum, singnah hai theih",ne ding zah tawh kizui-in an,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app",,2KI
singly,(adv.) khatguakin; khatguak-a hih,adv,C2,(adv.) khatguakin; khatguak-a hih,,,,Towards the later part of his life he singly supports,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
